NAME,Cholera,COVID-19,Ebola,Swine Flu,SARS,Measles,Meningitis
DAY 141,4603,,1011,16432,813,522,1100
DAY 142,4617,,1066,17053,813,525,1100
DAY 143,4630,,1071,17674,813,529,1100
DAY 144,4644,,1076,18256,813,533,1100
DAY 145,4658,,1113,18837,813,536,1100
DAY 146,4672,,1150,19419,813,540,1100
DAY 147,4683,,1187,20001,813,544,1100
DAY 148,4694,,1225,20583,813,548,1100
DAY 149,4704,,1285,21165,813,551,1100
DAY 150,4715,,1346,21747,813,555,1100
DAY 151,4726,,1422,22214,813,559,1100
DAY 152,4737,,1442,22681,813,562,1100
DAY 153,4748,,1463,23147,813,566,1100
DAY 154,4759,,1484,23614,813,570,1100
DAY 155,4769,,1504,24080,813,574,1100
DAY 156,4780,,1525,24547,813,577,1100
DAY 157,4791,,1546,25014,813,581,1100
DAY 158,4802,,1607,25480,813,585,1100
DAY 159,4813,,1668,25947,813,589,1100
DAY 160,4824,,1729,26414,813,592,1100
DAY 161,4834,,1790,27540,813,596,1100
DAY 162,4845,,1852,28666,813,600,1100
DAY 163,4856,,1913,29791,813,603,1100
DAY 164,4863,,1974,30917,813,607,1100
DAY 165,4870,,2035,32043,813,611,1100
DAY 166,4877,,2097,33169,813,615,1100
DAY 167,4884,,2192,34295,813,618,1100
DAY 168,4890,,2288,34931,813,622,1100
DAY 169,4897,,2288,35566,813,626,1100
DAY 170,4904,,2288,36202,813,630,1100
DAY 171,4911,,2288,36837,813,633,1100
DAY 172,4918,,2288,37473,813,637,1100
DAY 173,4925,,2329,38108,813,641,1100
DAY 174,4932,,2370,38744,813,644,1100
DAY 175,4939,,2411,39229,813,648,1100
DAY 176,4945,,2453,39715,813,652,1100
DAY 177,4952,,2537,40200,813,656,1100
DAY 178,4959,,2622,40685,813,659,1100
DAY 179,4966,,2667,41170,813,663,1100
DAY 180,4973,,2712,41656,813,667,1100
DAY 181,4980,,2757,42141,813,671,1100
DAY 182,4987,,2803,42885,813,674,1100
DAY 183,4994,,2856,43629,813,678,1100
DAY 184,5000,,2909,44374,813,682,1100
DAY 185,5007,,2996,45118,813,685,1100
DAY 186,5014,,3083,45862,813,689,1100
DAY 187,5021,,3132,46607,813,693,1100
DAY 188,5028,,3181,47351,813,697,1100
DAY 189,5035,,3231,47681,813,700,1100
DAY 190,5042,,3280,48011,813,704,1100
DAY 191,5049,,3330,48341,813,708,1100
DAY 192,5056,,3380,48670,813,711,1100
DAY 193,5062,,3431,49000,813,715,1100
DAY 194,5069,,3516,49330,813,719,1100
DAY 195,5076,,3601,49660,813,723,1100
DAY 196,5083,,3686,50380,813,726,1100
DAY 197,5090,,3771,51100,813,730,1100
DAY 198,5097,,3857,51820,813,734,1100
DAY 199,5104,,3940,52541,813,738,1100
DAY 200,5111,,4024,53261,813,741,1100
DAY 201,5117,,4116,53981,813,745,1100
DAY 202,5124,,4208,54701,813,749,1100
DAY 203,5131,,4300,55064,813,752,1100
DAY 204,5138,,4392,55426,813,756,1100
DAY 205,5145,,4484,55789,813,760,1100
DAY 206,5152,,4515,56152,813,764,1100
DAY 207,5159,,4546,56514,813,767,1100
DAY 208,5166,,4630,56877,813,771,1100
DAY 209,5172,,4714,57240,813,775,1100
DAY 210,5179,,4799,57771,813,779,1100
DAY 211,5186,,4883,58303,813,782,1100
DAY 212,5193,,4968,58835,813,786,1100
DAY 213,5200,,4968,59367,813,790,1100
DAY 214,5205,,4968,59899,813,793,1100
DAY 215,5211,,4968,60431,813,797,1100
DAY 216,5216,,4968,61508,813,801,1100
DAY 217,5222,,4968,62586,813,805,1100
DAY 218,5227,,4968,63663,813,808,1100
DAY 219,5233,,4968,64740,813,812,1100
DAY 220,5238,,4968,65818,813,816,1100
DAY 221,5244,,4968,66895,813,820,1100
DAY 222,5249,,4968,67973,813,823,1100
DAY 223,5255,,4968,69050,813,827,1100
DAY 224,5260,,4968,69532,813,831,1100
DAY 225,5266,,4968,70014,813,834,1100
DAY 226,5271,,4968,70497,813,838,1100
DAY 227,5277,,4968,70979,813,842,1100
DAY 228,5282,,4968,71461,813,846,1100
DAY 229,5288,,5003,71943,813,849,1100
DAY 230,5293,,5039,72425,813,853,1100
DAY 231,5298,,5075,72908,813,857,1100
DAY 232,5304,,5111,73390,813,860,1100
DAY 233,5309,,5147,74091,813,864,1100
DAY 234,5315,,5156,74817,813,868,1100
DAY 235,5320,,5165,75569,813,872,1100
DAY 236,5326,,5213,76347,813,875,1100
DAY 237,5331,,5261,77150,813,879,1100
DAY 238,5337,,5309,77978,813,883,1100
DAY 239,5342,,5357,78832,813,887,1100
DAY 240,5348,,5406,79712,813,890,1100
DAY 241,5353,,5425,80617,813,894,1100
DAY 242,5359,,5444,81547,813,898,1100
DAY 243,5364,,5490,82503,813,901,1100
DAY 244,5370,,5536,83484,813,905,1100
DAY 245,5375,,5582,84491,813,909,1100
